Description,Optional,Requires,Type,Buff,Suceed length,Suceed Msg,Fail Msg,Succeed Function,Succeed Scores,,,,,,Succeed Buffs,,,,,,Fail length,Fail Function,Fail Scores,,,,,Fail Buffs,,,,,
,,,,,,,,,Savings,Relationships,Career,Happiness,Health,Savings,Income,Luck,Charisma,Fitness,Time,Intelligence,,,Relationships,Career,Happiness,Health,Savings,Income,Luck,Charisma,Fitness,Time,Intelligence
Go back to school,T,8,Career,Intelligence,5,You go back to U of A for a masters in nanotechnology!,You applied to a few labs and got rejected,Set income to 2000,-50000,0,10,-2,0,0,0,0,0,0,-1,1,1,0,0,-5,-5,0,-500,0,0,0,0,0,-1
Join a band,T,4,Pursuits,charisma,3,Meet the newest bassit of Medical Pilots lol,Your audition didn't go according to plan,,,8,0,2,0,0,0,0,1,0,-1,0,1,0,0,0,-5,0,0,0,0,0,0,0,0
Write and sell a program,T,12,Career,Intelligence,2,Someone actually wants your ingenius recipe website,Your only bid was from Scaa wirewess surutions for $5,Sell price will be randomly generated based on how much over roll you get.,,0,15,5,0,0,0,0,0,0,0,1,1,0,0,-10,0,0,-500,0,-1,0,0,0,0
Sell your video game,T,12,Pursuits,intelligence,2,Monster trucks make money,You post it for free on Steam and have 5 mixed reviews. All exposure is good exposure...right?,Sell price will be randomly generated based on how much over roll you get,,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,-5,0,0,0,-1,0,0,0,
Relocate for your job,T,7,Career,time,5,Benu moves to Seatle and you embrace the rain,You relocate to Seatle but Benu goes under less than a year later,,,0,20,-5,0,0,2000,0,0,0,0,0,2,0,0,-10,-10,0,-1000,0,0,0,0,-1,0
Move cities,T,7,,,5,Spend a few years in Calgary,You decide Carbon is the Vancouver of Alberta. Spolier Alert: It isn't.,,,5,0,-5,0,0,0,1,1,0,0,0,2,0,-5,0,-10,0,0,0,0,0,0,0,0
Host a party,T,3,Pursuits,charisma,1,Everyone has a blast and no one pukes in your bathroom,You sent the wrong date on the invites.,,,5,0,5,0,0,0,0,1,0,0,0,1,0,-2,0,-2,0,0,0,0,0,0,0,0
Go to karaoke,T,2,Pursuits,charisma,1,You crushed that solo!,You preformed a solo! Luckily you drank enough you don't remeber.. unforutneatly Andrew recorded the entire thing,,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,0,0,0
Get into gardening,T,2,Pursuits,,1,You get really into grafting apple varieties,You get an ant infestation that kills everything,,,0,0,5,5,0,0,0,0,0,-1,1,1,0,0,0,-2,0,0,0,0,0,0,0,0
Visit your relatives,T,5,Relationships,,1,Take a trip to Lethbridge,It was a little akward,,,15,0,10,0,0,0,0,1,0,0,0,1,0,-5,0,0,0,0,0,0,0,0,0,0
Attend a family reunion ,T,5,Relationships,,1,Take a trip to Fernie,You took 5 vacation days to sit in a circle and bicker,,,15,0,10,0,0,0,0,1,0,-1,0,1,0,-10,0,0,0,0,0,0,0,0,0,0
Adopt a cat,T,10,,,1,You and Chester are insperable! Jessica sews him a bowtie,Chester escapes and get hit by a car two weeks later.,,,0,0,3,0,0,-200,1,0,0,0,0,1,0,0,0,-5,0,-50,0,0,0,0,0,0
Get married,T,13,Relationships,charisma,2,Your vows were poetic genius and left everyone in tears,"It rained, everyone got food poisoning, you had wedding crashers and someone proposed during speeches.",,,25,0,10,0,-30000,0,0,2,0,-2,0,2,0,-10,0,-10,0,-10000,0,-1,0,0,-2,0
Run a half marathon,T,10,Pursuits,fitness,2,Woah! Sub 2 hours!,You got heat stroke and didn't finish,,,0,0,0,10,-100,0,0,0,2,-1,0,2,0,0,0,0,-5,0,0,0,0,-1,0,0
Buy an apartment,T,9,,,2,Get a two bedroom overlooking a park,You skipped out on an inspection and discover mold behind the fridge,,,0,0,15,0,-50000,-4000,0,0,0,-1,1,2,0,0,0,-10,0,-20000,0,-1,0,0,0,0
Buy a new car,T,7,,,1,It was time. The regal has lived a good life,It stalls on the Henday the minute you drive it off the lot.,,,0,0,8,0,-10000,0,0,0,0,1,0,1,0,0,0,-5,0,-7000,0,-1,0,0,0,0
Go on a holiday,T,6,Pursuits,time,1,About damn time!,Goal: Costa Rica. Reality: A hurricane grounds your flight in Nebraska.,,,10,0,10,0,-8000,0,1,0,1,-1,0,1,0,-5,0,-5,0,-5000,0,0,0,0,0,0
Adopt a dog,T,8,,fitness,3,"Jessica and Cooper ""coexist"" - It's the best you could ask for",You get a reactionary chihuahua. Jessica glares at it often,,,5,0,8,0,0,-1000,0,0,1,-1,0,1,0,-2,0,-5,0,-300,0,0,0,0,0,-2
Become a landlord,T,11,Career,time,3,Your tennants are very respectful and reliable suprisingly,You evict your tennants after they fail to pay rent for 3 months. Turns out they had a grow-opt in the basement,,,0,15,0,0,-30000,5000,-1,0,0,-1,2,2,0,0,-10,-8,0,-15000,0,0,0,0,-1,0
See Vulfpeck in concert,T,7,Pursuits,,1,It was everything you imagined. Cory Wong dedicates a song to you.,"They cancel suddenly the day before due to band ""creative differences""",,,0,0,8,0,-500,0,1,0,0,0,0,1,0,0,0,-8,0,0,0,0,0,0,0,0
Get into metallurgy,T,7,Pursuits,,1,You are one project away from buying a furnace,You nearly lose a finger and decide it's not for you,,,0,0,5,0,0,0,0,0,0,-1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0
Go on a bike trip,T,6,,fitness,1,You bike down to Drumheller to see the dino museum,Get a flat tire in the middle of rural Alberta and have to hitch hike to Hana for a rescue,,,0,0,5,10,0,0,0,0,2,0,0,1,0,0,0,0,-8,0,0,0,0,0,0,0
Do a triathalon,T,8,,fitness,2,Really? You enjoyed that?,You rage quit when a fish touches your foot during the swim portion,,,0,0,5,20,-100,0,0,0,2,-2,0,2,0,0,0,-2,-15,0,0,0,0,-2,0,0
Shave your head,T,2,,,1,Because why not,Benjie calls you a skinhead,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0
Start a side buisness,T,16,Career,intelligence,4,"You start a basket weaving buisness... yes, really. And its successful... yes, really",You spend 5 months deciding on a name and logo... you forgot to think of a concept though,,,0,25,10,0,-20000,3000,2,0,0,-1,1,2,0,0,-15,-8,0,-10000,0,0,0,0,0,-2
Build a house,T,18,,time,3,Some people dream about their future family or job. But you have been dreaming about crown mouldings.,You buy a fixer-upper. Turns out is needs ALOT of fixing and you move back home while you redo the drywall,,,0,0,20,0,-70000,-2000,0,0,2,-2,2,3,0,0,0,-15,0,-50000,-500,-1,0,0,-2,0
Read a book,T,3,Pursuits,,1,Who knew you loved romanticy,You lose a bet with Jarod and have to read ACOTAR. Its exactly as bad as you thought it would be.,,,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0
Get voluntary baloon dialation,T,6,,fitness,1,You can swallow again!,You get throat spasms every day. But at least you can swallow.,,,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,-10,0,0,0,0,0,0,0
Go skydiving,T,5,Pursuits,,1,It was exhilirating! You told you mom in excruitiing detail. She almost fainted.,You chicken out at the last minute and take the flight down,,,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0
Attend a friends wedding,T,8,Relationships,charisma,1,Close out the night on the dance floor,You were responsible for the rings but lost them going through airport security,,,10,0,5,0,-100,0,0,1,0,0,0,1,0,-8,0,0,0,0,0,0,0,0,0,0
Learn a new language,T,10,Pursuits,intelligence,4,De alguna manera te vuelves fluido,You accidentally insult your spanish neibough,,,0,10,10,0,0,0,0,0,0,-2,3,2,0,0,-5,0,0,0,0,0,0,0,-1,0
